Chromosome	ORF	Promoter	UTR5	Start	End	UTR3	Terminator	End to end?	Tail to Tail?
chrIX	YIR006C	Not available 	48	369905	365463	102	0	1	1
chrIX	YIR007W	Not available 	Not available 	370701	372995	Not available 	Not available 	1	1
chrIX	YIR008C	28	14	374303	373074	42	Not available 	1	1
chrIX	YIR009W	127	50	374522	374857	177	325	0	1
chrIX	YIR010W	325	69	375428	377158	128	0	1	1
chrIX	YIR011C	0	9	378243	377284	94	0	1	0
chrIX	YIR012W	135	11	378483	379778	1173	0	1	1
chrIX	YIR013C	Not available 	576	380381	380016	174	53	1	1
chrIX	YIR014W	Not available 	Not available 	381083	381811	Not available 	Not available 	0	1
chrIX	YIR015W	Not available 	Not available 	381945	382379	Not available 	Not available 	0	0
chrIX	YIR016W	Not available 	49	382625	383422	78	Not available 	1	0
chrIX	YIR017W-A	Not available 	Not available 	383563	384162	Not available 	Not available 	0	1
chrIX	YIR017C	Not available 	Not available 	384116	383553	125	0	1	1
chrIX	YIR018W	Not available 	22	384606	385343	144	Not available 	1	0
chrIX	YIR018C-A	Not available 	Not available 	385698	385561	Not available 	Not available 	1	0
chrIX	YIR019C	Not available 	Not available 	393672	389569	Not available 	Not available 	0	1
chrIX	YIR020C	Not available 	Not available 	394554	394252	Not available 	Not available 	0	0
chrIX	YIR020W-A	Not available 	Not available 	394914	395156	Not available 	Not available 	1	0
chrIX	YIR021W	Not available 	Not available 	397291	398382	44	Not available 	0	0
chrIX	YIR020C-B	Not available 	Not available 	397946	397212	Not available 	Not available 	1	0
chrIX	YIR021W-A	Not available 	Not available 	398511	398723	Not available 	Not available 	0	1
chrIX	YIR022W	Not available 	Not available 	398730	399233	102	419	0	1
chrIX	YIR023W	419	20	399774	402686	36	Not available 	1	1
chrIX	YIR023C-A	Not available 	Not available 	402703	402380	Not available 	Not available 	1	1
chrIX	YIR024C	Not available 	25	403488	402838	54	Not available 	0	1
chrIX	YIR025W	Not available 	Not available 	403656	404762	Not available 	Not available 	1	0
chrIX	YIR026C	Not available 	28	405964	404870	70	Not available 	1	1
chrIX	YIR027C	Not available 	Not available 	407639	406257	Not available 	Not available 	0	1
chrIX	YIR028W	Not available 	Not available 	408465	410372	Not available 	Not available 	0	0
chrIX	YIR029W	Not available 	Not available 	410804	411835	73	105	1	0
chrIX	YIR030C	Not available 	20	412767	412033	29	Not available 	1	0
chrIX	YIR030W-A	Not available 	Not available 	412896	413279	Not available 	Not available 	1	0
chrIX	YIR031C	Not available 	75	414676	413012	33	Not available 	1	0
chrIX	YIR032C	Not available 	Not available 	415614	415027	Not available 	Not available 	0	0
chrIX	YIR033W	Not available 	48	416121	419462	1288	0	1	0
chrIX	YIR034C	213	36	420733	419612	27	75	1	0
chrIX	YIR035C	198	41	421787	421023	41	213	0	0
chrIX	YIR036W-A	Not available 	Not available 	422632	423033	Not available 	Not available 	0	1
chrIX	YIR036C	Not available 	Not available 	422862	422071	45	198	0	0
chrIX	YIR037W	Not available 	46	423125	423616	92	72	1	0
chrIX	YIR038C	5826	26	424510	423806	97	47	1	0
chrIX	YIR039C	Not available 	31	432107	430494	132	5826	0	0
chrIX	YIR040C	Not available 	Not available 	433717	433385	Not available 	Not available 	0	1
chrIX	YIR041W	Not available 	Not available 	433925	434299	Not available 	Not available 	1	0
chrIX	YIR042C	Not available 	54	435980	435270	73	Not available 	1	0
chrMito	Q0010	Not available 	Not available 	3952	4338	Not available 	Not available 	0	0
chrMito	Q0017	Not available 	Not available 	4254	4415	Not available 	Not available 	0	1
chrMito	Q0032	Not available 	Not available 	11667	11957	Not available 	Not available 	0	0
chrMito	Q0050	Not available 	Not available 	13818	16322	Not available 	Not available 	0	0
chrMito	Q0055	Not available 	Not available 	13818	18830	Not available 	Not available 	0	1
chrMito	Q0070	Not available 	Not available 	13818	23167	679	Not available 	0	0
chrMito	Q0045	Not available 	Not available 	13818	26701	109	Not available 	0	0
chrMito	Q0060	Not available 	Not available 	13818	19996	Not available 	Not available 	0	0
chrMito	Q0065	Not available 	Not available 	13818	21935	214	Not available 	0	0
chrMito	Q0075	Not available 	Not available 	24156	25255	Not available 	Not available 	0	1
chrMito	Q0080	Not available 	21	27666	27812	294	0	0	1
chrMito	Q0085	0	608	28487	29266	228	Not available 	0	0
chrMito	Q0092	Not available 	Not available 	30874	31014	Not available 	Not available 	0	1
chrMito	Q0115	Not available 	Not available 	36540	40265	Not available 	Not available 	0	1
chrMito	Q0110	Not available 	Not available 	36540	38579	Not available 	Not available 	0	0
chrMito	Q0120	Not available 	Not available 	36540	42251	Not available 	Not available 	0	0
chrMito	Q0105	Not available 	Not available 	36540	43647	7	3021	0	1
chrMito	Q0130	3021	48	46723	46953	61	Not available 	0	1
chrMito	Q0140	Not available 	Not available 	48901	50097	Not available 	Not available 	0	1
chrMito	Q0142	Not available 	Not available 	51052	51228	Not available 	Not available 	0	1
chrMito	Q0143	Not available 	Not available 	51277	51429	Not available 	Not available 	0	0
chrMito	Q0144	Not available 	Not available 	54109	54438	Not available 	Not available 	0	1
chrMito	Q0160	Not available 	Not available 	61022	61729	Not available 	Not available 	0	0
chrMito	Q0182	Not available 	Not available 	65770	66174	Not available 	Not available 	0	0
chrMito	Q0250	Not available 	Not available 	73758	74513	Not available 	Not available 	0	0
chrMito	Q0255	Not available 	Not available 	74495	75984	Not available 	Not available 	0	0
chrMito	Q0275	Not available 	66	79213	80022	65	Not available 	0	1
chrMito	Q0297	Not available 	Not available 	85554	85709	Not available 	Not available 	1	1
chrV	YEL077W-A	Not available 	Not available 	630	1112	Not available 	Not available 	1	1
chrV	YEL077C	Not available 	Not available 	4097	264	Not available 	Not available 	1	1
chrV	YEL075W-A	Not available 	Not available 	4870	5481	Not available 	Not available 	1	0
chrV	YEL076C	Not available 	Not available 	5114	4464	Not available 	Not available 	0	0
chrV	YEL076C-A	Not available 	Not available 	5114	4185	Not available 	Not available 	0	0
chrV	YEL075C	Not available 	Not available 	5713	5345	Not available 	Not available 	1	0
chrV	YEL074W	Not available 	Not available 	6126	6464	Not available 	Not available 	1	1
chrV	YEL073C	Not available 	Not available 	7553	7230	Not available 	Not available 	1	1
chrV	YEL072W	Not available 	126	13720	14415	171	1719	0	1
chrV	YEL071W	1719	50	16355	17845	100	Not available 	0	0
chrV	YEL070W	Not available 	Not available 	19589	21097	Not available 	Not available 	1	1
chrV	YEL069C	Not available 	Not available 	23231	21537	Not available 	Not available 	1	0
chrV	YEL068C	Not available 	127	25978	25646	141	Not available 	0	1
chrV	YEL066W	Not available 	Not available 	26667	27206	57	262	0	0
chrV	YEL067C	Not available 	Not available 	26776	26189	Not available 	Not available 	0	1
chrV	YEL065W	262	132	27657	29543	79	154	1	1
chrV	YEL064C	280	21	31239	29797	111	11	1	1
chrV	YEL063C	778	38	33466	31694	154	280	0	1
chrV	YEL062W	457	330	34407	36254	125	138	1	1
chrV	YEL061C	285	18	39537	36535	248	0	1	0
chrV	YEL060C	137	256	41953	40046	206	285	0	0
chrV	YEL059C-A	Not available 	126	42624	42400	54	137	0	0
chrV	YEL059W	Not available 	Not available 	42652	42960	Not available 	Not available 	0	1
chrV	YEL058W	Not available 	32	43252	44925	76	Not available 	1	1
chrV	YEL057C	Not available 	Not available 	45721	45020	80	0	1	1
chrV	YEL056W	1315	52	47168	48373	242	0	1	0
chrV	YEL055C	938	28	51539	48471	49	0	1	0
chrV	YEL053W-A	Not available 	Not available 	52908	53255	0	598	1	0
chrV	YEL054C	Not available 	Not available 	53218	52721	216	938	0	1
chrV	YEL053C	360	48	56102	53901	66	Not available 	1	0
chrV	YEL052W	315	88	56571	58100	61	175	0	1
chrV	YEL051W	175	42	58378	59148	109	Not available 	0	0
chrV	YEL050W-A	Not available 	Not available 	59549	59740	Not available 	Not available 	1	0
chrV	YEL050C	Not available 	46	60851	59670	130	Not available 	1	1
chrV	YEL049W	Not available 	Not available 	63728	64090	Not available 	Not available 	1	1
chrV	YEL048C	110	16	65167	64709	556	Not available 	1	1
chrV	YEL047C	266	2	66797	65385	92	110	0	0
chrV	YEL046C	Not available 	Not available 	68792	67629	564	266	0	1
chrV	YEL045C	Not available 	Not available 	69265	68840	1171	Not available 	0	0
chrV	YEL044W	0	102	69757	70257	52	161	0	1
chrV	YEL043W	161	8	70478	73348	69	204	0	1
chrV	YEL042W	204	150	73771	75327	139	Not available 	0	1
chrV	YEL041W	Not available 	Not available 	75944	77431	Not available 	Not available 	0	0
chrV	YEL040W	Not available 	38	78053	79456	96	0	1	1
chrV	YEL039C	339	91	79977	79636	82	60	1	1
chrV	YEL038W	377	26	80462	81145	55	56	1	1
chrV	YEL037C	239	151	82603	81407	144	92	1	1
chrV	YEL036C	Not available 	122	84552	83050	57	239	0	-1
chrV	YEL035C	Not available 	Not available 	85545	85045	Not available 	Not available 	0	1
chrV	YEL034W	Not available 	Not available 	85676	86149	219	Not available 	0	0
chrV	YEL033W	Not available 	Not available 	86179	86598	Not available 	Not available 	0	1
chrV	YEL034C-A	Not available 	Not available 	86215	85613	0	Not available 	1	0
chrV	YEL032W	Not available 	53	86937	89852	140	Not available 	1	1
chrV	YEL032C-A	Not available 	Not available 	87201	87040	Not available 	Not available 	1	1
chrV	YEL031W	Not available 	21	90258	93905	90	Not available 	1	1
chrV	YEL030W	Not available 	Not available 	94644	96578	164	50	1	0
chrV	YEL030C-A	Not available 	Not available 	94897	94583	Not available 	Not available 	1	1
chrV	YEL029C	753	66	97796	96858	89	Not available 	1	1
chrV	YEL028W	427	356	98668	99129	53	1530	0	1
chrV	YEL027W	1530	57	100769	101251	248	339	0	0
chrV	YEL026W	339	105	101943	102323	72	149	1	1
chrV	YEL025C	669	37	106147	102581	241	0	1	1
chrV	YEL024W	695	177	107260	107907	407	Not available 	1	0
chrV	YEL023C	Not available 	Not available 	110552	108504	Not available 	Not available 	1	0
chrV	YEL022W	Not available 	115	111421	115800	79	Not available 	0	1
chrV	YEL021W	Not available 	Not available 	116167	116970	Not available 	Not available 	1	0
chrV	YEL020W-A	Not available 	Not available 	117211	117474	117	Not available 	1	1
chrV	YEL020C-B	Not available 	Not available 	117380	117183	22	Not available 	1	1
chrV	YEL020C	Not available 	Not available 	120299	118617	93	Not available 	1	0
chrV	YEL019C	Not available 	Not available 	121301	120498	Not available 	Not available 	0	1
chrV	YEL018W	Not available 	Not available 	121471	122310	84	374	1	0
chrV	YEL018C-A	Not available 	Not available 	121988	121455	0	Not available 	0	1
chrV	YEL017C-A	607	30	122929	122798	447	Not available 	1	0
chrV	YEL017W	153	128	123657	124670	91	0	1	0
chrV	YEL016C	190	165	126218	124737	75	0	1	0
chrV	YEL015W	313	23	126629	128284	56	Not available 	1	0
chrV	YEL014C	Not available 	Not available 	128608	128303	60	0	1	0
chrV	YEL013W	Not available 	Not available 	128825	130561	0	1117	0	0
chrV	YEL012W	1117	94	131772	132551	107	430	0	0
chrV	YEL011W	430	32	133120	135234	70	Not available 	0	1
chrV	YEL010W	Not available 	Not available 	136279	136629	Not available 	Not available 	1	1
chrV	YEL009C-A	Not available 	Not available 	136778	136371	Not available 	Not available 	1	1
chrV	YEL009C	Not available 	571	139763	138918	72	Not available 	0	0
chrV	YEL008W	Not available 	Not available 	140512	140892	Not available 	Not available 	1	1
chrV	YEL008C-A	Not available 	Not available 	140818	140726	Not available 	Not available 	0	0
chrV	YEL007W	Not available 	234	141891	143891	145	286	0	1
chrV	YEL006W	286	4	144326	145333	183	381	1	0
chrV	YEL005C	127	9	146754	145906	72	497	1	0
chrV	YEL004W	0	164	146950	147978	60	Not available 	0	1
chrV	YEL003W	Not available 	Not available 	148175	148598	125	0	1	1
chrV	YEL002C	154	53	150013	148721	121	Not available 	1	1
chrV	YEL001C	2226	25	150977	150300	80	154	0	1
chrV	YER001W	2291	171	153519	155807	291	659	0	0
chrV	YER002W	659	45	156802	157497	90	119	1	1
chrV	YER003C	192	29	159117	157735	56	137	1	1
chrV	YER004W	251	155	159579	160274	241	Not available 	0	0
chrV	YER005W	Not available 	Not available 	160549	162441	91	168	0	0
chrV	YER006W	168	22	162722	164284	63	Not available 	1	0
chrV	YER007W	0	195	164526	166082	224	0	1	1
chrV	YER006C-A	Not available 	Not available 	164660	164343	475	0	1	1
chrV	YER007C-A	801	30	166884	166236	165	0	1	0
chrV	YER008C	68	64	171817	167807	92	801	0	0
chrV	YER009W	189	16	172114	172491	165	0	1	0
chrV	YER010C	1659	95	173337	172633	76	50	1	0
chrV	YER011W	1770	64	175247	176011	156	1620	0	0
chrV	YER012W	1620	47	177834	178430	132	241	0	1
chrV	YER013W	241	37	178840	182277	77	211	0	1
chrV	YER014W	211	34	182599	184218	107	Not available 	1	1
chrV	YER015W	Not available 	Not available 	184540	186774	253	1206	0	1
chrV	YER014C-A	Not available 	Not available 	184699	183730	Not available 	Not available 	1	0
chrV	YER016W	1206	43	188276	189310	122	Not available 	1	0
chrV	YER017C	Not available 	Not available 	191787	189502	137	12	1	1
chrV	YER018C	0	95	192623	191958	104	Not available 	0	0
chrV	YER019W	0	112	192796	194229	88	0	1	1
chrV	YER019C-A	392	61	194538	194272	19	0	1	1
chrV	YER020W	504	106	195167	196516	176	205	0	1
chrV	YER021W	205	50	196947	198518	78	185	0	0
chrV	YER022W	185	30	198811	200874	92	82	0	1
chrV	YER023W	82	27	201075	201935	70	Not available 	1	0
chrV	YER023C-A	Not available 	Not available 	201733	201521	305	312	1	1
chrV	YER024W	Not available 	Not available 	202191	204962	114	129	0	0
chrV	YER025W	129	45	205250	206833	262	481	1	0
chrV	YER026C	418	67	208473	207643	105	660	1	1
chrV	YER027C	304	108	210231	208978	20	418	0	0
chrV	YER028C	422	199	211875	210691	48	304	0	1
chrV	YER029C	81	53	213176	212586	90	422	0	0
chrV	YER030W	130	40	213436	213897	126	28	1	0
chrV	YER031C	268	24	214746	214075	116	22	1	0
chrV	YER032W	158	42	215062	217692	24	307	1	1
chrV	YER033C	328	33	221286	218056	144	178	1	1
chrV	YER034W	372	43	221845	222402	198	0	0	1
chrV	YER035W	0	207	222638	223075	138	130	1	1
chrV	YER036C	446	23	225198	223366	84	0	1	1
chrV	YER037W	596	10	225888	226853	221	Not available 	1	0
chrV	YER038C	Not available 	Not available 	228251	226857	577	0	1	0
chrV	YER038W-A	Not available 	Not available 	228450	228830	Not available 	Not available 	1	0
chrV	YER039C	Not available 	Not available 	229204	228455	Not available 	Not available 	1	0
chrV	YER039C-A	Not available 	Not available 	229480	229262	Not available 	Not available 	0	1
chrV	YER040W	Not available 	71	229794	231986	256	168	0	1
chrV	YER041W	168	50	232460	234739	164	0	0	0
chrV	YER042W	0	88	234936	235490	164	98	1	1
chrV	YER043C	333	17	237118	235769	193	0	1	1
chrV	YER044C	Not available 	71	238015	237569	101	333	0	0
chrV	YER044C-A	Not available 	Not available 	239773	238459	Not available 	Not available 	0	0
chrV	YER045C	1513	92	241500	240031	116	Not available 	0	0
chrV	YER046W	1461	102	243179	243610	74	Not available 	0	1
chrV	YER046W-A	Not available 	Not available 	243699	244028	Not available 	Not available 	1	1
chrV	YER047C	Not available 	Not available 	246502	243809	Not available 	Not available 	1	1
chrV	YER048C	2163	66	248156	246981	102	Not available 	0	0
chrV	YER048W-A	2390	69	250717	251001	332	296	0	1
chrV	YER049W	296	98	251727	253661	86	191	1	0
chrV	YER050C	21	32	254386	253970	85	126	1	0
chrV	YER051W	154	30	254655	256133	216	0	1	1
chrV	YER052C	579	80	257957	256374	90	121	1	1
chrV	YER053C	1190	99	259638	258736	120	579	0	1
chrV	YER053C-A	870	80	261045	260932	5	1190	0	1
chrV	YER054C	855	229	263697	262051	56	870	0	0
chrV	YER055C	550	89	265784	264891	110	855	0	0
chrV	YER056C	1163	88	268112	266511	88	550	0	0
chrV	YER056C-A	473	19	270183	269421	58	1163	0	0
chrV	YER057C	526	29	271124	270735	60	473	0	1
chrV	YER058W	564	18	271766	272089	87	312	0	0
chrV	YER059W	312	134	272622	273884	72	463	0	1
chrV	YER060W	463	146	274565	276151	121	Not available 	0	0
chrV	YER060W-A	Not available 	Not available 	276570	278162	Not available 	Not available 	1	1
chrV	YER061C	115	42	279624	278296	29	Not available 	1	1
chrV	YER062C	682	198	280680	279928	147	115	0	1
chrV	YER063W	815	66	281708	282364	148	98	1	0
chrV	YER064C	833	93	284220	282703	232	41	1	0
chrV	YER065C	2872	322	286912	285239	93	833	0	1
chrV	YER066W	3120	115	290240	290797	134	Not available 	1	1
chrV	YER067W	Not available 	Not available 	292064	292549	92	Not available 	1	1
chrV	YER066C-A	Not available 	Not available 	292201	291701	Not available 	Not available 	1	1
chrV	YER067C-A	Not available 	Not available 	292561	292238	Not available 	Not available 	1	0
chrV	YER068W	Not available 	59	293048	294811	107	Not available 	1	1
chrV	YER069W	Not available 	Not available 	295408	297999	128	782	0	1
chrV	YER068C-A	Not available 	Not available 	295730	295299	Not available 	Not available 	1	1
chrV	YER070W	782	39	298948	301614	205	109	1	1
chrV	YER071C	318	17	302325	301945	200	92	1	1
chrV	YER072W	237	42	302804	303193	144	515	0	1
chrV	YER073W	515	175	304027	305589	134	568	0	0
chrV	YER074W	568	28	306319	307192	104	324	0	1
chrV	YER074W-A	324	29	307649	308119	60	Not available 	1	0
chrV	YER075C	Not available 	Not available 	311195	308409	289	0	1	1
chrV	YER076W-A	Not available 	Not available 	313386	313733	194	529	1	1
chrV	YER076C	Not available 	Not available 	313494	312586	244	Not available 	0	1
chrV	YER077C	64	74	316596	314530	94	Not available 	1	0
chrV	YER078C	0	54	318338	316803	69	64	0	0
chrV	YER078W-A	Not available 	Not available 	318642	318806	486	0	0	0
chrV	YER079W	0	63	318916	319548	250	Not available 	1	0
chrV	YER080W	Not available 	Not available 	319959	321842	82	557	0	0
chrV	YER079C-A	Not available 	Not available 	320236	319898	0	287	1	1
chrV	YER081W	557	201	322682	324091	179	0	1	0
chrV	YER082C	139	74	325932	324268	69	0	1	0
chrV	YER083C	Not available 	19	327027	326170	25	139	0	1
chrV	YER084W	Not available 	Not available 	327061	327447	Not available 	Not available 	0	1
chrV	YER084W-A	Not available 	Not available 	327594	328106	Not available 	Not available 	1	0
chrV	YER085C	Not available 	Not available 	328136	327615	Not available 	Not available 	1	1
chrV	YER086W	Not available 	63	328473	330203	141	176	0	1
chrV	YER087W	176	52	330572	332302	70	Not available 	1	0
chrV	YER087C-A	Not available 	Not available 	332364	331813	Not available 	Not available 	1	0
chrV	YER087C-B	193	34	332826	332578	187	Not available 	0	0
chrV	YER088C	Not available 	461	335184	333172	119	193	0	0
chrV	YER088W-B	Not available 	Not available 	335923	336069	1407	0	1	1
chrV	YER088C-A	Not available 	Not available 	336015	335692	Not available 	Not available 	0	1
chrV	YER089C	Not available 	304	337336	335942	55	Not available 	1	1
chrV	YER090W	503	51	337945	339468	105	Not available 	1	0
chrV	YER090C-A	Not available 	Not available 	338407	338318	Not available 	Not available 	0	1
chrV	YER091C	Not available 	54	342163	339860	200	141	1	1
chrV	YER091C-A	Not available 	Not available 	342607	342386	Not available 	Not available 	0	1
chrV	YER092W	Not available 	Not available 	342851	343228	Not available 	Not available 	1	0
chrV	YER093C	147	32	347608	343316	35	Not available 	1	1
chrV	YER093C-A	115	84	348396	347908	121	147	0	0
chrV	YER094C	192	214	349342	348725	130	115	0	0
chrV	YER095W	449	55	349976	351178	228	Not available 	0	0
chrV	YER096W	Not available 	Not available 	351694	353232	Not available 	Not available 	0	1
chrV	YER097W	Not available 	Not available 	355136	355465	Not available 	Not available 	0	0
chrV	YER098W	Not available 	Not available 	355462	357726	96	8	1	0
chrV	YER099C	136	271	359057	358101	53	Not available 	1	0
chrV	YER100W	183	265	359558	360310	94	Not available 	1	1
chrV	YER101C	Not available 	Not available 	361790	360498	0	0	1	1
chrV	YER102W	938	368	363096	363698	65	767	0	0
chrV	YER103W	767	55	364585	366513	129	Not available 	0	1
chrV	YER104W	Not available 	Not available 	366798	367424	382	0	1	0
chrV	YER105C	Not available 	38	372009	367834	220	Not available 	1	1
chrV	YER106W	Not available 	Not available 	372322	373230	Not available 	Not available 	1	0
chrV	YER107W-A	Not available 	Not available 	374390	374710	0	Not available 	1	0
chrV	YER107C	0	177	374541	373444	113	Not available 	1	1
chrV	YER109C	Not available 	Not available 	377610	375211	317	Not available 	1	0
chrV	YER110C	369	36	382099	378758	81	Not available 	0	1
chrV	YER111C	Not available 	Not available 	385872	382591	87	369	0	1
chrV	YER112W	1186	83	387228	387791	90	Not available 	1	0
chrV	YER113C	Not available 	Not available 	390048	387928	Not available 	Not available 	1	1
chrV	YER114C	166	322	393708	390586	213	Not available 	0	0
chrV	YER115C	0	316	394863	394288	92	166	0	1
chrV	YER116C	431	101	396168	395344	426	0	0	1
chrV	YER117W	140	31	396765	397649	65	38	1	1
chrV	YER118C	153	196	399051	397948	155	113	1	0
chrV	YER119C	Not available 	136	400838	399492	92	153	0	0
chrV	YER120W	Not available 	27	401131	401865	99	289	0	0
chrV	YER119C-A	Not available 	Not available 	401234	400863	Not available 	Not available 	0	0
chrV	YER121W	289	118	402371	402715	109	0	1	1
chrV	YER122C	0	82	404348	402867	122	0	1	1
chrV	YER123W	149	190	404809	406383	422	484	1	1
chrV	YER124C	700	49	409059	407338	289	476	1	1
chrV	YER125W	329	508	410185	412614	377	373	1	1
chrV	YER126C	188	26	414175	413390	123	145	1	0
chrV	YER127W	159	20	414477	415550	88	199	0	1
chrV	YER128W	199	18	415855	416466	126	159	0	1
chrV	YER129W	159	526	417277	420705	249	71	1	1
chrV	YER130C	1275	86	422442	421111	92	0	1	1
chrV	YER131W	1052	362	423948	424307	145	669	1	1
chrV	YER132C	1754	63	430445	425184	122	393	1	1
chrV	YER133W	1864	60	432491	433954	229	Not available 	0	1
chrV	YER133W-A	Not available 	Not available 	437187	437528	Not available 	Not available 	1	1
chrV	YER134C	Not available 	37	437799	437263	220	Not available 	1	-1
chrV	YER135C	Not available 	Not available 	438340	437948	Not available 	Not available 	0	1
chrV	YER136W	Not available 	80	439612	440967	326	Not available 	1	1
chrV	YER137W-A	Not available 	Not available 	441571	441876	Not available 	Not available 	0	1
chrV	YER137C	Not available 	Not available 	441815	441369	151	171	1	1
chrV	YER138W-A	Not available 	Not available 	449470	449574	17	877	1	1
chrV	YER139C	0	90	451238	450558	121	Not available 	1	1
chrV	YER140W	153	48	451560	453230	1065	0	0	1
chrV	YER141W	0	212	453454	454914	1038	Not available 	1	1
chrV	YER142C	Not available 	Not available 	456031	455141	Not available 	Not available 	1	1
chrV	YER143W	Not available 	66	456314	457600	149	Not available 	1	1
chrV	YER144C	Not available 	Not available 	460218	457801	87	48	1	1
chrV	YER145C	Not available 	29	461735	460521	83	Not available 	0	0
chrV	YER146W	Not available 	Not available 	462580	462861	85	0	1	0
chrV	YER145C-A	Not available 	Not available 	462818	462381	Not available 	Not available 	0	0
chrV	YER147C	239	42	464837	462963	51	Not available 	1	1
chrV	YER148W	Not available 	Not available 	465298	466020	190	Not available 	0	1
chrV	YER147C-A	Not available 	Not available 	465608	465198	80	239	0	1
chrV	YER148W-A	Not available 	Not available 	466180	466758	Not available 	Not available 	1	1
chrV	YER149C	677	58	467465	466203	265	Not available 	1	0
chrV	YER150W	614	21	468365	468811	165	644	1	1
chrV	YER151C	140	61	472419	469681	69	780	1	0
chrV	YER152W-A	Not available 	Not available 	473480	474046	Not available 	Not available 	1	1
chrV	YER152C	Not available 	Not available 	473983	472652	32	140	0	0
chrV	YER153C	Not available 	Not available 	474800	474036	Not available 	Not available 	1	1
chrV	YER154W	Not available 	25	475015	476223	63	0	1	1
chrV	YER155C	321	59	482843	476340	131	0	1	1
chrV	YER156C	366	7	484336	483320	97	321	0	0
chrV	YER157W	Not available 	Not available 	484783	487188	74	1398	1	1
chrV	YER158C	408	192	490573	488852	123	Not available 	1	1
chrV	YER158W-A	692	94	491482	491697	309	0	1	0
chrV	YER159C	6975	168	491953	491525	121	0	1	0
chrV	YER161C	157	25	500343	499342	246	6975	0	1
chrV	YER162C	147	25	502889	500625	100	157	0	1
chrV	YER163C	1449	36	503777	503079	18	147	0	1
chrV	YER164W	1564	28	505387	509793	125	317	0	0
chrV	YER165W	317	133	510368	512101	152	Not available 	1	0
chrV	YER166W	Not available 	Not available 	512739	517454	82	622	0	1
chrV	YER165C-A	Not available 	Not available 	512978	512622	Not available 	Not available 	1	1
chrV	YER167W	622	53	518211	520766	26	186	1	0
chrV	YER168C	443	46	522664	521024	36	169	1	1
chrV	YER169W	505	159	523364	525754	211	Not available 	0	0
chrV	YER170W	Not available 	Not available 	525969	526646	345	0	0	1
chrV	YER171W	0	130	527077	529413	119	0	1	0
chrV	YER172C	187	67	536016	529525	93	0	1	1
chrV	YER173W	Not available 	Not available 	536295	538274	1301	Not available 	1	1
chrV	YER172C-A	Not available 	Not available 	536650	536270	0	187	0	1
chrV	YER174C	Not available 	Not available 	539163	538429	85	Not available 	1	0
chrV	YER175C	0	88	540358	539459	138	Not available 	0	0
chrV	YER175W-A	0	193	540645	540809	605	212	0	0
chrV	YER176W	212	59	541685	545050	94	422	0	1
chrV	YER177W	422	40	545606	546409	177	208	0	0
chrV	YER178W	208	18	546812	548074	134	Not available 	0	1
chrV	YER179W	Not available 	Not available 	548416	549512	Not available 	Not available 	1	1
chrV	YER180C	Not available 	110	550522	549719	43	Not available 	1	0
chrV	YER180C-A	Not available 	Not available 	551117	550860	Not available 	Not available 	0	1
chrV	YER181C	Not available 	Not available 	551791	551468	Not available 	Not available 	0	1
chrV	YER182W	Not available 	24	552520	553254	95	0	1	0
chrV	YER183C	1827	17	553964	553329	55	0	1	1
chrV	YER184C	Not available 	Not available 	558675	556291	483	1827	0	1
chrV	YER185W	269	22	559449	560360	28	1256	1	0
chrV	YER186C	3408	56	562620	561700	124	1194	1	1
chrV	YER187W	Not available 	Not available 	566225	566650	141	Not available 	0	1
chrV	YER188W	Not available 	Not available 	568035	568754	Not available 	Not available 	1	1
chrV	YER188C-A	Not available 	Not available 	569902	569603	Not available 	Not available 	1	0
chrV	YER189W	Not available 	Not available 	571150	571518	Not available 	Not available 	0	1
chrV	YER190W	Not available 	Not available 	571475	576520	Not available 	Not available 	1	1
chrV	YER190C-A	Not available 	Not available 	575374	574799	Not available 	Not available 	1	0
chrV	YER190C-B	Not available 	Not available 	576157	575675	Not available 	Not available 	0	1
chrVI	YFL068W	Not available 	Not available 	53	535	Not available 	Not available 	0	1
chrVI	YFL067W	Not available 	Not available 	836	1363	Not available 	Not available 	1	1
chrVI	YFL066C	Not available 	Not available 	2615	1437	Not available 	Not available 	1	0
chrVI	YFL065C	Not available 	Not available 	3338	3030	Not available 	Not available 	0	0
chrVI	YFL064C	Not available 	Not available 	3846	3322	Not available 	Not available 	0	0
chrVI	YFL063W	Not available 	Not available 	5066	5521	Not available 	Not available 	0	1
chrVI	YFL062W	Not available 	Not available 	6426	7565	Not available 	Not available 	0	1
chrVI	YFL061W	Not available 	Not available 	9545	10222	Not available 	Not available 	1	0
chrVI	YFL060C	Not available 	Not available 	10969	10301	Not available 	Not available 	1	1
chrVI	YFL059W	Not available 	Not available 	11363	12259	Not available 	Not available 	0	0
chrVI	YFL058W	Not available 	Not available 	12929	13951	Not available 	Not available 	1	0
chrVI	YFL057C	Not available 	Not available 	14763	14305	Not available 	Not available 	1	0
chrVI	YFL056C	Not available 	Not available 	15431	14793	46	Not available 	0	0
chrVI	YFL055W	Not available 	Not available 	17004	18680	Not available 	Not available 	1	0
chrVI	YFL054C	Not available 	Not available 	22787	20847	Not available 	Not available 	1	0
chrVI	YFL053W	Not available 	Not available 	23423	25198	Not available 	Not available 	0	1
chrVI	YFL052W	Not available 	Not available 	28232	29629	Not available 	Not available 	1	1
chrVI	YFL051C	Not available 	Not available 	30540	30058	Not available 	Not available 	1	1
