gene	chromosome	peakPosition	LOD	2LODIntervalLeft	2LODIntervalRight	alleleFrequencyDifference
YJL052W	chr05	214000	22.21	192000	237900	0.2022559929
YJL052W	chr05	312300	24.41	279600	332300	0.2009696716
YJL052W	chr07	133500	8.84	92900	168800	0.1283545312
YJL052W	chr07	534500	7.73	489900	569300	0.1187907118
YJL052W	chr09	131400	25.08	119600	148800	0.2450251345
YJL052W	chr10	138000	5.81	102800	170100	-0.1056178624
YJL052W	chr12	164900	6.24	105400	221200	-0.122233699
YJL052W	chr12	651100	6.14	603500	684200	0.1054926735
YJL052W	chr13	301800	64.6	290900	322300	0.3819356117
YJL052W	chr14	498600	6.2	399100	555300	0.1043136455
YJL052W	chr15	178200	4.66	133800	200800	-0.1178545692
YJL052W	chr16	486400	15.24	429900	504300	-0.1765657405
YJL078C	chr05	309400	8.48	272500	368000	0.1265382189
YJL078C	chr08	114400	11.86	81800	139800	-0.1382142292
YJL078C	chr10	193400	5.63	114500	233400	0.086603576
YJL078C	chr12	262800	9.49	246800	285700	-0.1452518793
YJL078C	chr12	795800	9.92	769200	828400	-0.135122229
YJL117W	chr01	35400	4.8	0	65900	-0.1062108001
YJL117W	chr02	165700	5.18	92200	240400	0.0949445022
YJL117W	chr08	417100	4.56	353900	474600	0.0797548871
YJL117W	chr10	53200	31.25	43700	69900	-0.2715020904
YJL117W	chr12	669400	7.86	629400	703800	-0.1474689267
YJL117W	chr13	26300	68.82	0	36500	0.4201519389
YJL117W	chr15	154600	10.77	130400	186200	0.151083021
YJL130C	chr01	28600	8.87	0	61400	-0.1410338514
YJL130C	chr02	135600	5.71	103400	217400	0.1023428613
YJL130C	chr12	644100	4.52	602600	692700	0.1061692035
YJL130C	chr14	484600	17.6	457100	508300	-0.1994757184
YJL130C	chr15	178800	10.61	146200	203100	0.1425920099
YJL130C	chr15	859100	7.24	831800	903400	0.1152301717
YJL151C	chr04	214900	4.73	171300	296700	-0.0970877566
YJL151C	chr07	447300	4.76	375200	507300	0.0974398092
YJL151C	chr10	49300	5.48	0	87500	-0.1019799727
YJL151C	chr13	47700	14.57	0	114800	0.1555022532
YJL192C	chr08	92900	4.78	58700	136600	0.1124371851
YJL192C	chr15	143600	6.59	118500	178300	0.1193730112
YJL201W	chr14	446400	6.99	423300	488800	-0.1099387347
YJL201W	chr15	192200	4.69	128500	236100	0.101468332
YJR048W	chr05	389100	8.74	358800	435000	-0.1332261122
YJR048W	chr08	100800	9.78	79500	119800	0.1520733087
YJR048W	chr08	409100	5.11	362600	476900	-0.0965647879
YJR048W	chr11	238100	7.76	211100	261000	-0.1461117585
YJR048W	chr12	655600	197.09	649200	662600	-0.8410682667
YJR048W	chr13	411100	28.95	399500	429800	-0.2671024028
YJR048W	chr14	463200	40.58	449100	472100	-0.2805611152
YJR070C	chr01	36700	5.61	0	62900	-0.0986380688
YJR070C	chr02	133100	5.05	89000	236400	0.0908194666
YJR070C	chr07	234900	4.64	80600	312200	-0.0946162638
YJR070C	chr10	148900	6.1	111200	189400	-0.1187243313
YJR070C	chr11	235700	5.26	190500	283800	-0.1021211204
YJR070C	chr12	635500	11.91	602600	663600	0.1590974279
YJR070C	chr13	68600	19.39	50200	90500	0.1813563313
YJR070C	chr14	244600	7.25	221900	285800	-0.124819054
YJR070C	chr15	174200	12.3	133400	188400	0.1582119774
YJR072C	chr01	40300	5.87	0	71200	-0.0991003134
YJR072C	chr14	470100	7.4	434000	513300	-0.1216484931
YJR072C	chr15	163600	10.36	140100	184000	0.1547075369
YJR076C	chr08	95200	4.99	65700	135000	0.1118853821
YJR105W	chr02	152800	15.82	121700	168700	0.1853120568
YJR105W	chr05	268100	5.2	229000	308500	0.1012493817
YJR105W	chr11	237500	4.67	170000	286400	-0.0889317075
YJR105W	chr12	668500	27.11	648400	676500	-0.2393289083
YJR105W	chr15	130600	6.79	78800	172400	0.1095814743
YJR109C	chr01	51300	8.17	0	69000	-0.149075408
YJR109C	chr02	432700	10.4	411100	468600	0.1463436958
YJR109C	chr04	216100	5.77	180200	268800	0.126844785
YJR109C	chr04	1461000	11.75	1439400	1484000	-0.1852911115
YJR109C	chr05	374500	15.95	351600	404700	0.2021242858
YJR109C	chr08	178400	11.48	155800	217100	0.1778527814
YJR109C	chr08	433800	16.8	412500	452800	-0.2009956332
YJR109C	chr12	659600	19.02	632800	678100	0.2124895653
YJR109C	chr12	1031500	5.93	1003300	1059600	0.1121099453
YJR109C	chr13	68100	9.63	24500	143200	0.1812632905
YJR109C	chr14	465000	70.15	454000	478000	0.4982970426
YJR109C	chr15	174400	8.13	136700	196000	0.1335760947
YJR121W	chr01	145700	5.39	117600	185900	-0.1083654389
YJR121W	chr04	0	5.79	0	128100	-0.2079260592
YJR121W	chr04	205900	5.01	164400	235000	-0.1135005711
YJR121W	chr05	401300	6.3	358600	475800	-0.1072547007
YJR121W	chr08	114600	5.78	68400	143100	0.1245593351
YJR121W	chr10	504300	6.45	430300	533500	0.1202175745
YJR121W	chr11	250700	23.7	227400	262400	-0.2052819993
YJR121W	chr12	661600	39.92	644200	671500	-0.2967940703
YJR121W	chr14	460400	104.94	450500	469300	-0.5157734878
YJR121W	chr15	170500	25.85	150700	179700	-0.2180300264
YKL029C	chr01	28000	5.93	0	59600	-0.1231165055
YKL029C	chr02	676200	7.14	573100	707800	-0.1242362712
YKL029C	chr07	131100	17.49	110300	158500	-0.1723964959
YKL029C	chr07	511700	7.27	470900	549100	0.1183776388
YKL029C	chr10	150000	6.1	108300	176600	-0.113844009
YKL029C	chr12	127900	5.56	101000	155100	0.1138740487
YKL029C	chr12	662800	24.58	648100	673500	-0.230082338
YKL029C	chr13	90500	29.67	63800	109800	0.232107022
YKL029C	chr14	509000	13.06	493100	538100	0.1761323663
YKL029C	chr15	170400	24.4	152700	187200	0.2186907498
YKL035W	chr01	40600	4.8	0	61500	0.0864690778
YKL035W	chr02	400300	6.32	356500	442900	-0.1047001845
YKL035W	chr04	593200	9.48	556000	658600	-0.1412857139
YKL035W	chr07	141300	5.63	66500	191300	0.1027503866
YKL035W	chr07	556600	5.15	504500	606100	0.0946592604
YKL035W	chr08	149500	4.65	68100	173800	0.1312660508
YKL035W	chr11	98400	10.49	68500	163800	0.125160351
YKL035W	chr12	140800	14.99	118900	180800	-0.1837863585
YKL035W	chr12	632100	14.93	614100	669500	0.1652918756
YKL035W	chr12	969500	8.03	940000	999800	0.1470865434
YKL035W	chr14	466900	26.46	448300	483000	0.2511974943
YKL035W	chr15	158600	32.11	144600	179500	-0.2704768313
YKL035W	chr16	185500	7.98	154700	265800	-0.1520794897
YKL035W	chr16	499500	12.86	455400	545600	-0.1385823033
YKL054C	chr02	177400	5.63	151100	218600	0.0973109076
YKL054C	chr04	174800	6.13	145300	227600	-0.1184619335
YKL054C	chr05	210500	6.29	150300	237600	-0.100588005
YKL054C	chr05	365600	5.49	290800	519500	-0.0917454145
YKL054C	chr08	90300	15.41	78000	105900	0.2004303168
YKL054C	chr11	244200	4.7	188100	299800	-0.1321357081
YKL054C	chr12	643600	6.57	622100	718200	-0.1264286369
YKL054C	chr14	441300	8	270300	489300	-0.1094444807
YKL081W	chr01	29500	10.23	0	64600	-0.1335509086
YKL081W	chr02	120800	23.48	106500	137300	0.2242162383
YKL081W	chr05	189100	6.06	139800	251300	-0.1075682843
YKL081W	chr07	384300	9.03	354700	409600	0.132749368
YKL081W	chr07	874400	5.26	820900	916800	0.1000603695
YKL081W	chr12	646500	5.1	6.00E+05	691000	0.1158678371
YKL081W	chr13	54100	10.13	0	72700	-0.1331880637
YKL085W	chr01	38700	10.37	0	55000	0.1504938065
YKL085W	chr02	388600	5.82	331100	415100	-0.1046277325
YKL085W	chr04	231500	8.52	208000	255200	-0.1339435161
YKL085W	chr04	421500	12.34	388500	458700	-0.1465885773
YKL085W	chr05	194300	4.94	149200	226900	0.1064328364
YKL085W	chr05	379200	14.51	362000	430800	-0.1830826506
YKL085W	chr07	512100	6.25	468600	567400	0.1126200144
YKL085W	chr08	145000	7.84	103000	180800	0.1246744587
YKL085W	chr09	211100	5.2	177100	260200	0.1104419309
YKL085W	chr10	525900	10.32	423700	548900	0.1525054897
YKL085W	chr11	233800	17.13	218800	246500	-0.2147136336
YKL085W	chr12	137000	9.85	113600	219100	-0.1468044563
YKL085W	chr12	644800	5.76	606500	713700	-0.1131752704
YKL085W	chr13	85900	18.64	60200	127800	0.1820218818
YKL085W	chr13	307700	11.29	267600	336400	0.1550772363
YKL085W	chr15	161100	69.43	152900	173000	-0.3945433924
YKL085W	chr15	472500	8.61	433900	547000	-0.1303946895
YKL160W	chr12	1040500	5.66	1013800	1059600	0.1091484226
YKL160W	chr13	109400	6.14	51100	140300	0.0948235415
YKL160W	chr15	147700	9.02	118600	172400	0.13694456
YKL167C	chr14	454600	11.13	431000	487400	-0.1473732286
YKR014C	chr13	135900	5.86	65800	167700	0.1005523319
YKR059W	chr02	142700	27.45	127600	159600	0.2345105604
YKR059W	chr03	105000	5.93	81500	157000	0.1166917529
YKR059W	chr04	960900	5.7	926200	1015500	-0.1068887276
YKR059W	chr05	507400	7.95	442500	566700	-0.1183441573
YKR059W	chr06	246400	5.24	212800	269900	-0.1101666958
YKR059W	chr08	248600	4.85	213800	300800	-0.0939588694
YKR059W	chr08	442700	5.44	391000	479000	0.116124783
YKR059W	chr12	253900	7.5	227000	301500	-0.1108504429
YKR059W	chr12	760100	5.93	701100	820600	-0.096020963
YKR059W	chr13	23300	6.21	0	57500	-0.1103351258
YKR059W	chr14	264200	4.66	197800	324200	-0.0904203145
YKR080W	chr02	259100	4.64	193800	313800	0.0850007779
YKR080W	chr02	456600	5.61	431400	478600	0.1232047988
YKR080W	chr04	1464100	16.57	1446300	1484300	-0.1913161229
YKR080W	chr05	198400	6.02	180500	232500	-0.1246207251
YKR080W	chr07	156500	5.79	105700	185200	-0.1099565735
YKR080W	chr08	167900	30.26	160200	182400	-0.2721764854
YKR080W	chr10	251000	5.27	190900	285800	0.1118578801
YKR080W	chr10	656300	24.45	637700	670900	-0.2297054894
YKR080W	chr13	103800	30.31	74700	129300	0.2505012817
YKR080W	chr14	232800	10.48	191700	288000	-0.1408336052
YKR080W	chr14	597100	6.46	566400	631300	-0.1175888899
YKR080W	chr15	227800	5.41	138000	263300	0.1030333641
YKR080W	chr15	902900	4.6	863200	944800	0.1089113214
YLL009C	chr02	163500	4.55	80600	229600	0.0806792207
YLL026W	chr01	43500	37.12	31500	49600	0.284303486
YLL026W	chr01	158900	6.97	137500	207300	-0.1202753506
YLL026W	chr02	124100	9.03	91600	153200	-0.1309731239
YLL026W	chr02	370300	11.28	357200	419100	-0.1515330138
YLL026W	chr04	45900	16.31	0	75500	-0.1760928761
YLL026W	chr04	408800	10.08	372300	444500	-0.1324110987
YLL026W	chr05	199500	10.33	182600	232200	0.1343781458
YLL026W	chr06	126600	5.89	94400	157800	-0.1132309511
YLL026W	chr07	374700	44.88	359200	387000	0.3007464248
YLL026W	chr08	164600	4.54	70400	252600	0.0832003203
YLL026W	chr08	427300	6.29	399300	463900	0.1085043514
YLL026W	chr09	219000	6.7	191100	251200	0.1275317026
YLL026W	chr10	670900	18.06	655300	686600	0.1863809987
YLL026W	chr11	131800	10.35	116800	150600	0.1622515541
YLL026W	chr12	193700	5.71	146600	222700	-0.0971086927
YLL026W	chr12	592300	9.83	565300	673100	0.1208742768
YLL026W	chr12	971500	5.11	939200	1012500	0.1073558479
YLL026W	chr13	423600	8.21	388800	479400	-0.132606237
YLL026W	chr14	497100	58.16	488300	507700	0.3480393415
YLL026W	chr15	168300	77.34	160200	175600	-0.4062948384
YLL026W	chr16	170700	12.24	146700	203000	-0.1698035956
YLL026W	chr16	443600	4.6	367700	469900	-0.0995207746
YLL028W	chr02	175700	5.1	92500	236400	0.0870602188
YLL028W	chr05	191600	13.02	166200	234600	-0.1654215389
YLL028W	chr07	130200	6.49	86700	182900	-0.1134347381
YLL028W	chr07	475300	51.83	467000	486900	-0.3451670366
YLL028W	chr10	160900	10.83	125500	217500	0.1507656193
YLL028W	chr13	65500	10.95	33700	101300	0.1376554067
YLL028W	chr14	457000	5.12	411600	491900	0.1020355527
YLL028W	chr15	162300	191.31	154800	169500	-0.8613829258
YLL028W	chr15	612800	8.35	557300	648900	0.1320350799
YLR043C	chr02	129100	5.11	95500	174900	0.1041010917
YLR043C	chr11	201800	5.88	134900	258500	-0.1075455976
YLR043C	chr13	119400	14.1	55800	141400	0.1575397438
YLR043C	chr14	469000	4.64	429500	529600	0.0955581673
YLR075W	chr02	128400	10.73	97600	197000	0.1462509783
YLR075W	chr05	216300	7.65	176300	250500	-0.1348096284
YLR075W	chr07	147300	8.31	107300	180400	-0.1326730186
YLR075W	chr10	150500	5.45	113800	185400	-0.1128358873
YLR075W	chr10	645100	5.26	594000	691300	-0.0910488855
YLR075W	chr12	133200	4.69	49400	196900	0.0908336779
YLR075W	chr12	693300	6.51	645300	763900	-0.1120843509
YLR075W	chr14	463800	55.83	452000	475400	-0.3577376091
YLR075W	chr15	159100	30.22	141300	178500	0.2484262953
YLR153C	chr01	36000	5.76	0	65900	-0.0988056197
YLR153C	chr05	205100	5.55	173600	272000	-0.1143374272
YLR153C	chr10	147600	11.25	107500	170100	-0.1402345444
YLR153C	chr11	268800	20.97	257500	280400	-0.2198077083
YLR153C	chr12	655300	209.27	649900	661300	-0.7948385566
YLR153C	chr14	459300	31.47	443800	474800	0.2695097246
YLR153C	chr15	166500	17.9	133100	183700	0.1794011978
YLR179C	chr02	138800	5.49	97100	179800	0.0987964098
YLR179C	chr05	222200	4.6	139900	435400	-0.1055699269
YLR179C	chr08	179100	10.42	149900	208200	-0.1352880305
YLR179C	chr10	170500	5.02	129200	247600	0.1024696459
YLR179C	chr11	220100	4.64	121600	263200	-0.0916621702
YLR179C	chr12	661100	197.02	654100	667200	0.7089125591
YLR179C	chr15	148700	16.68	132400	167000	0.1790754326
YLR244C	chr07	131100	9.88	107300	170000	-0.1317598081
YLR244C	chr08	132800	10.77	109400	152200	0.1485749349
YLR244C	chr10	150400	7.02	120900	176700	-0.1275104874
YLR244C	chr13	56100	12.28	38500	78700	0.1540135119
YLR244C	chr14	461300	5.46	397500	488900	-0.1113920645
YLR244C	chr15	165000	15.27	141200	185900	0.1727719352
YLR295C	chr05	389000	22.26	366500	405900	-0.2077550766
YLR295C	chr11	239400	47.82	228100	248600	-0.3479620069
YLR295C	chr12	648600	7.85	623200	671800	-0.1400274411
YLR295C	chr14	458300	32.04	445100	468500	-0.2725425518
YLR295C	chr15	171800	8.61	145800	191800	-0.1414744415
YLR295C	chr15	501200	6.52	441000	624200	-0.1130394766
YLR325C	chr07	141000	7.33	84900	178600	-0.1101285484
YLR325C	chr14	462400	17.27	448900	475400	-0.1774555911
YLR325C	chr15	154600	26.2	136700	176200	0.2364177053
YLR372W	chr02	144900	9.75	121100	172900	0.1496925298
YLR372W	chr08	119400	8.78	75300	147500	0.1328095402
YLR372W	chr12	657200	4.89	550300	694200	0.0980140038
YLR372W	chr15	157200	20.95	137100	181500	0.1971435537
YLR413W	chr01	38400	101.93	33500	46600	0.5041529914
YLR413W	chr02	173900	5.38	104700	198400	0.1163081346
YLR413W	chr02	381200	10.73	361300	404300	-0.147782273
YLR413W	chr04	1003200	5.63	893800	1043900	0.0760587926
YLR413W	chr07	118200	5.23	86500	162000	-0.09299939
YLR413W	chr07	413000	96.05	403600	420800	-0.4668453107
YLR413W	chr10	127100	6.81	0	155900	0.120920636
YLR413W	chr12	652400	115.82	644500	660900	0.5385191423
YLR413W	chr12	910500	7.39	888600	940300	0.1166549154
YLR413W	chr13	50700	5.09	0	126600	0.0986598996
YLR413W	chr13	412100	45.2	396100	427200	-0.3161409592
YLR413W	chr15	155700	25.46	139800	168100	0.233098302
YLR413W	chr15	608500	12.06	584500	667500	0.1455368994
YLR413W	chr16	567300	4.89	523700	651200	0.1027784077
YLR438W	chr04	1421600	5.16	1367300	1523200	-0.1028102755
YLR438W	chr05	262400	23.53	231200	278100	0.2021846709
YLR438W	chr07	509800	7.25	455900	575800	0.1081163145
YLR438W	chr08	81500	10.79	64000	124700	0.1598846981
YLR438W	chr12	250300	5.79	165700	298000	-0.0940696755
YLR438W	chr12	662300	5.85	560700	721400	-0.0905594441
YLR438W	chr13	112600	46.66	93500	131200	0.3336317741
YLR438W	chr14	16200	4.77	0	81300	0.087366235
YLR438W	chr14	480600	25.88	462600	508600	0.2459857292
YLR438W	chr16	498800	15.11	482900	524500	-0.1711202672
YML010W	chr01	54500	5.56	0	80500	-0.1113742461
YML010W	chr10	629000	5.87	564500	688900	-0.0838175351
YML010W	chr12	239500	6	217800	264100	-0.1274049038
YML010W	chr12	647100	18.13	632700	661800	0.2050396629
YML010W	chr14	449200	4.82	415300	487400	0.1085475668
YML024W	chr02	137200	38.83	123800	148800	0.3014734425
YML024W	chr07	147300	6.68	103900	202700	-0.0975543449
YML024W	chr10	129000	8.97	107900	156300	-0.1426610245
YML024W	chr12	654800	19.3	639100	677500	-0.2180870917
YML024W	chr13	28400	10.79	0	64100	-0.1508540513
YML024W	chr14	262600	11.13	228400	287000	-0.1470813377
YML024W	chr14	475100	18.55	444300	496000	-0.1883913861
YML024W	chr15	155100	18.7	137100	171200	0.1972998726
YML070W	chr01	31700	7.82	0	52800	0.1399453445
YML070W	chr04	400700	6.86	350700	497800	-0.1167277155
YML070W	chr10	156400	8.9	129300	176500	-0.146538301
YML070W	chr15	161800	9.33	146500	186300	-0.1301982241
YML106W	chr02	137100	6.07	112700	179700	0.1414469415
YML106W	chr04	1036700	7.93	984500	1069700	0.1254312944
YML106W	chr05	502600	9.03	460600	527500	-0.1538426288
YML106W	chr12	707600	8.51	652100	735100	-0.1154480939
YML106W	chr13	71000	15.58	58500	98600	0.1459980517
YML106W	chr14	464600	22.33	448900	480100	-0.2569955996
YML106W	chr15	873500	5.09	820300	941300	0.1220951738
YMR067C	chr14	470100	6.65	424600	521800	-0.1156303504
YMR072W	chr08	102400	7.46	68400	134600	0.1256911927
YMR072W	chr13	98700	6.21	46100	138000	0.1094435041
YMR072W	chr14	470600	5.22	439500	515700	0.0990339891
YMR142C	chr02	133600	11.02	108400	169200	0.1481391201
YMR142C	chr14	464800	29.06	448100	482000	-0.2425823907
YMR142C	chr15	167400	5.39	124600	193900	0.1047255687
YMR177W	chr05	400800	5.54	368700	448400	-0.105160329
YMR177W	chr08	84600	10.75	70500	106100	0.163906015
YMR177W	chr12	485400	5.78	411800	518700	-0.1114768963
YMR177W	chr13	437400	7.41	411500	476000	-0.1170175812
YMR177W	chr15	160700	11.85	127000	179600	0.1535196859
YMR315W	chr01	41600	17.24	0	55200	0.1901166365
YMR315W	chr04	408200	11.06	378300	499100	-0.1398946441
YMR315W	chr07	534500	7.6	442400	608200	0.0991603555
YMR315W	chr08	436700	31.24	417300	463500	-0.2572656876
YMR315W	chr10	154300	12.23	134800	178100	0.1706874845
YMR315W	chr10	645900	4.82	612200	694100	0.1032834665
YMR315W	chr11	123800	10.22	98000	143600	0.1595488599
YMR315W	chr12	152500	9.96	108500	188000	-0.1509844971
YMR315W	chr12	598300	22.05	578400	618900	0.2092177429
YMR315W	chr13	100500	8.13	65200	135200	0.1103635711
YMR315W	chr13	335000	6.66	264800	389200	-0.0980039794
YMR315W	chr14	500300	24.22	475700	518100	0.2422356264
YMR315W	chr15	172000	48.44	163900	178100	-0.3415505912
YMR315W	chr16	198300	6.67	150300	234300	-0.1259563563
YNL015W	chr01	41500	16.3	0	56500	0.192735878
YNL015W	chr02	410700	13.23	382300	443600	-0.1580588308
YNL015W	chr04	258000	6.63	180300	312000	-0.1232485562
YNL015W	chr04	619800	5.23	572400	706400	-0.095385956
YNL015W	chr05	386100	10.16	359000	422200	-0.1519778717
YNL015W	chr06	112300	5.64	84100	158700	-0.1056757978
YNL015W	chr07	476100	8.38	446000	526700	0.1336105936
YNL015W	chr08	77700	5.12	31300	121900	0.0930708495
YNL015W	chr10	126700	9.13	95900	164700	-0.1169646315
YNL015W	chr12	231100	6.26	137200	263800	-0.116256599
YNL015W	chr14	448900	19.88	431200	468200	-0.2269903988
YNL015W	chr15	170800	34.29	150900	182100	-0.2691872935
YNL016W	chr02	140300	6.34	98800	172300	0.1083672119
YNL016W	chr10	141800	7.33	98200	157900	-0.1089997307
YNL016W	chr13	132300	5.37	96000	193000	0.0752572331
YNL016W	chr14	456400	4.7	402400	576900	0.1217055568
YNL016W	chr15	150600	8.23	121900	181700	0.1297941887
YNL044W	chr02	137400	6.93	95000	187100	0.1041848103
YNL044W	chr12	663100	14.02	638200	734400	-0.1766398535
YNL044W	chr14	278000	6.94	211900	325300	-0.1107911709
YNL044W	chr14	476600	5.39	416400	508000	-0.1133453992
YNL044W	chr15	157100	11.74	136700	184600	0.1502854698
YNL055C	chr01	31700	28.32	0	43800	0.2613251592
YNL055C	chr01	169500	7.73	148700	207300	-0.1684848302
YNL055C	chr02	539600	12.68	502400	569700	0.1684472408
YNL055C	chr04	214500	9.2	192800	279600	-0.1364857043
YNL055C	chr04	487100	12.01	453000	526800	-0.156178407
YNL055C	chr04	1468600	5.61	1447700	1523200	-0.1217983865
YNL055C	chr05	211100	5.56	119400	251500	0.0966589558
YNL055C	chr05	386300	9.25	360700	429000	-0.1564456694
YNL055C	chr09	426000	5.09	391100	433800	0.1180176721
YNL055C	chr11	242200	64.7	231900	253500	-0.3879055731
YNL055C	chr13	95300	20.75	59400	118100	0.2125815999
YNL055C	chr14	250500	6.74	226400	303500	-0.1362693834
YNL055C	chr15	159200	69.03	152200	170000	-0.4101110169
YNL055C	chr15	517100	13.31	449900	560100	-0.161948089
YNL055C	chr15	962400	19.52	924900	983900	0.1982686389
YNL061W	chr01	35400	8.13	0	57400	-0.1364017906
YNL061W	chr08	71700	5.59	22200	121900	-0.1114836721
YNL061W	chr14	487100	20.65	465000	508500	-0.222573397
YNL061W	chr15	158400	8.32	135600	202200	0.145059751
YNL104C	chr02	150500	15.33	128600	174700	0.1601347203
YNL104C	chr02	402600	6	367500	430600	-0.0975869442
YNL104C	chr04	1468000	16.08	1427000	1486200	-0.1900082382
YNL104C	chr05	360100	16.46	344500	381500	0.1980079361
YNL104C	chr07	506900	5.83	448800	589600	0.1088213005
YNL104C	chr08	155700	17.01	138400	175000	0.1880748011
YNL104C	chr08	413200	5.38	369100	452100	-0.1001756496
YNL104C	chr10	488700	8.14	457900	523100	0.1292921232
YNL104C	chr10	666600	5.81	595400	697200	0.0971071391
YNL104C	chr12	652600	59.05	641700	669400	-0.3548406937
YNL104C	chr13	110500	30	93600	128700	0.2609366502
YNL104C	chr14	518600	28.99	505600	540500	0.2302094114
YNL104C	chr15	516100	4.63	471700	542200	-0.0987663321
YNL104C	chr16	455000	6.3	376200	483200	-0.1173904205
YNL134C	chr02	553400	8.49	512100	615500	-0.123848196
YNL134C	chr04	220300	8.57	201900	250100	-0.1343070356
YNL134C	chr07	507500	17.72	466500	525700	0.1865920887
YNL134C	chr10	138900	7.42	98300	170000	0.1118372036
YNL134C	chr12	260100	6.9	222400	386400	-0.1277617032
YNL134C	chr12	646100	9.87	623300	675800	0.1469995667
YNL134C	chr13	262500	85.42	252800	271600	0.4149598416
YNL134C	chr14	471800	49.38	458700	484500	-0.3367951598
YNL134C	chr15	162700	27.82	146200	178200	-0.2543414399
YNL138W	chr05	410100	6.87	325100	432800	0.1331432421
YNL231C	chr07	486400	23.16	462900	515700	-0.2237474568
YNL231C	chr12	671800	12.32	651700	694800	-0.1551602413
YNL241C	chr02	155100	4.98	74600	227300	0.1016363896
YNL241C	chr02	474600	4.57	438000	515100	0.0873541421
YNL241C	chr04	495200	7.44	392100	553500	-0.1069553866
YNL241C	chr08	208500	5.95	88500	292700	-0.0871258609
YNL241C	chr12	223100	5.7	191200	265100	-0.1319198056
YNL241C	chr12	648800	12.94	628800	667700	0.2000962564
YNL241C	chr13	111200	10.16	79300	147300	0.1621156117
YNL241C	chr14	503400	9.09	455800	533700	0.1401316338
YNL241C	chr16	500100	10.54	440100	520500	-0.15457925
YNL313C	chr01	45500	6.57	0	65100	-0.1091194813
YNL313C	chr07	134500	6.15	88800	186700	-0.1019213762
YNL313C	chr14	214600	7.23	195100	249800	-0.110760704
YNL313C	chr14	449800	4.97	422300	538000	-0.076478559
YNL313C	chr15	153500	19.04	142700	181000	0.1899828812
YNR001C	chr02	161600	8.37	104500	189200	-0.1137051563
YNR001C	chr02	544100	5.75	504800	565100	0.1300241277
YNR001C	chr04	32600	9.37	0	80500	-0.1214681643
YNR001C	chr04	226200	24.41	214900	240300	-0.1992796655
YNR001C	chr04	1223800	5.67	1046600	1256800	0.0914253661
YNR001C	chr05	390900	6.16	360800	500400	-0.1044086108
YNR001C	chr07	500100	10.68	459700	518200	0.1539934871
YNR001C	chr07	976700	4.62	929800	1017300	0.0929330863
YNR001C	chr10	546000	20.03	522700	563600	0.2053189144
YNR001C	chr10	657800	13.86	631700	682700	0.1416658994
YNR001C	chr11	242200	23.75	230700	252700	-0.2256513746
YNR001C	chr12	173700	5.7	111100	249700	-0.1039044361
YNR001C	chr12	645700	68.65	635800	657000	-0.378662496
YNR001C	chr12	960000	4.97	909100	987100	0.1049132017
YNR001C	chr13	137700	24.78	59400	150500	0.1934002277
YNR001C	chr14	462300	9.46	443700	477700	-0.1087701602
YNR001C	chr15	164600	29.7	154800	174900	-0.2649183724
YNR001C	chr15	530300	11.88	506000	572100	-0.1527701357
YNR016C	chr01	49800	6.67	0	67600	0.134467195
YNR016C	chr07	483000	5.46	443600	563200	-0.1103876798
YNR016C	chr12	714300	9.61	669800	758000	-0.1184523196
YNR053C	chr14	468000	18.56	452500	484300	-0.1974592601
YNR053C	chr15	168300	4.8	119400	205700	0.1077508001
YOL012C	chr13	108400	7.5	62000	145500	0.1120511754
YOR061W	chr12	711300	6.24	626400	756100	-0.1030340868
YOR061W	chr14	237400	5.15	146400	303100	-0.0913516562
YOR061W	chr14	442200	6.98	411600	477300	-0.1327962118
YOR061W	chr15	160000	6.05	132400	196100	0.1115985907
YOR122C	chr02	114100	5.68	81300	179100	0.111620956
YOR122C	chr13	138000	8.82	99700	165600	0.1175058674
YOR122C	chr14	464000	19.46	450500	477700	0.1990490693
YOR122C	chr15	104600	9.21	57200	141300	0.1117022516
YOR165W	chr13	132500	11.94	96300	160800	0.1448577912
YOR165W	chr14	241900	9.36	200400	274600	-0.1329644357
YOR165W	chr16	479000	7.11	300600	534500	0.1153429233
YOR168W	chr07	131600	9	79600	173400	-0.1215002091
YOR168W	chr10	120500	7.52	92300	166100	-0.1231131702
YOR168W	chr11	215700	4.6	152200	257600	-0.1018792652
YOR168W	chr13	119300	5	73000	148200	0.0953910608
YOR168W	chr15	167300	13.65	132400	187800	0.1521281016
YOR310C	chr02	104500	8.57	65600	143500	0.1347825935
YOR310C	chr04	720600	4.63	669500	800700	-0.0878288601
YOR310C	chr07	555400	6.57	518400	575900	0.1163592797
YOR310C	chr08	176100	8.22	135900	210900	0.1315644379
YOR310C	chr15	169300	5.57	114400	192200	0.1193534297
YOR310C	chr15	887700	6.32	820400	930500	0.1391818311
YOR340C	chr14	457800	4.79	420700	513900	-0.1033795146
YOR340C	chr15	166300	6.87	114600	195600	0.1119249592
YOR361C	chr02	140700	28.05	120300	169600	0.2189504487
YOR361C	chr04	445000	6.8	395200	561300	-0.1117869848
YOR361C	chr05	164200	4.65	124000	243300	-0.0727539308
YOR361C	chr12	8.00E+05	7.81	781500	818000	-0.1190603499
YOR361C	chr13	24500	8.63	0	82100	-0.0965351535
YOR361C	chr14	254600	9.31	232500	285500	-0.1301939436
YOR361C	chr14	484300	8.67	443200	534200	-0.1421418018
YOR361C	chr15	934400	4.87	889800	969500	0.067674129
